canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Calakmul,Calakmul,calakmul,-89.8111781326894,18.10611740200006,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Almuchil,Almuchil,almuchil,-89.83200201206336,20.18749191284432,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Altamira,Altamira,altamira,-89.71357589706591,17.96964045247725,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Balakbal,Balakbal,balakbal,-89.70514721973679,17.88765168284851,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Chunhuhub,Chunhuhub,chunhuhub,-89.85969609238992,20.16054497736551,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Balamkú,Balamkú,balamkú,-89.94488527824471,18.5565181545468,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Channá,Channá,channá,-89.45734751145594,18.46328903846433,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Chicanná,Chicanná,chicanná,-89.4857443724914,18.50794578131995,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Culuchalom,Culuchalom,culuchalom,-89.61682850852023,18.6970697113515,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Dzehkabtún,Dzehkabtún,dzehkabtún,-89.91049166666669,19.69311388888889,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
Dzibilnocac,Dzibilnocac,dzibilnocac,-89.61263149976416,19.58176381098458,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Mameyal,El Mameyal,el-mameyal,-89.48377991361806,18.02129950523285,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Palmar,El Palmar,el-palmar,-89.53073667360708,18.08217648859193,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Ramonal,El Ramonal,el-ramonal,-89.8072372152646,18.25696481455797,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
El Tigre,El Tigre,el-tigre,-90.87478308453336,18.12083265530588,archaeological_site,MX,Maya archaeological site recorded in Wayeb GIS Atlas.,Wayeb GIS Atlas
