canonical_name,display_name,slug,longitude,latitude,site_type,country_code,short_description,source
Chichen Itza,Chichen Itza,chichen-itza,-88.568611111,20.683055555,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chinkultic,Chinkultic,chinkultic,-91.785,16.129,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Holtun,Holtun,holtun,-89.42555556,16.97361111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
La Milpa,La Milpa,la-milpa,-88.95,17.78333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Mundo Perdido,Mundo Perdido,mundo-perdido,-89.62793333,17.22004722,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Nixtun Ch'ich',Nixtun Ch'ich',nixtun-chich,-89.931,16.948,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
San Gervasio,San Gervasio,san-gervasio,-86.848297,20.500351,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Balamku,Balamku,balamku,-89.94436111,18.56019444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Dzibanche,Dzibanche,dzibanche,-88.75902778,18.6375,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chicanná,Chicanná,chicanná,-89.48633333,18.50691667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Balankanche,Balankanche,balankanche,-88.535,20.65861111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Moral Reforma,Moral Reforma,moral-reforma,-91.29816667,17.76908333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Meco,El Meco,el-meco,-86.804167028,21.210830526,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tortuguero,Tortuguero,tortuguero,-92.5681,17.6869,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Plan de Ayutla,Plan de Ayutla,plan-de-ayutla,-91.27994444,16.785,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Xcaret,Xcaret,xcaret,-87.119166666,20.578055555,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Muyil,Muyil,muyil,-87.61388889,20.07888889,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Itzamkanac,Itzamkanac,itzamkanac,-90.83691667,18.12194444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Mul Chic,Mul Chic,mul-chic,-89.66472222,20.32008333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Xtampak,Xtampak,xtampak,-89.59869444,19.77188889,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Xkipche,Xkipche,xkipche,-89.82611111,20.29861111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Palmar (Maya site),El Palmar (Maya site),el-palmar-maya-site,-89.337222222,18.077777777,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Uxul,Uxul,uxul,-89.98166667,17.85666667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Kinichna,Kinichna,kinichna,-88.76694,18.65972,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chakalal,Chakalal,chakalal,-87.23472222,20.49416667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Jolja',Jolja',jolja,-92.316666666,17.333333333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Aguada Fénix,Aguada Fénix,aguada-fénix,-91.15,17.8,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Yaxún,Yaxún,yaxún,-90.669583333,16.463,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chinikihá,Chinikihá,chinikihá,-91.651831,17.4198124,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Cayo,El Cayo,el-cayo,-91.216712,17.059995,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Nadzca'an,Nadzca'an,nadzcaan,-89.851527777,18.606972222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Yaxnohcah,Yaxnohcah,yaxnohcah,-89.741277777,17.930222222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Candzibaantún,Candzibaantún,candzibaantún,-89.711555555,17.851722222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Limones (Maya site),Limones (Maya site),limones-maya-site,-88.1101284,19.0213607,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Pol Box,Pol Box,pol-box,-88.813611111,18.545555555,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
X'baatún,X'baatún,xbaatún,-88.768258419,21.054495713,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Palma,El Palma,el-palma,-90.744719,16.367212,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Noh Kah,Noh Kah,noh-kah,-88.8078314,18.110281,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Saknatún,Saknatún,saknatún,-91.008194444,16.107555555,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Yamil Lu'um,Yamil Lu'um,yamil-luum,-86.760277777,21.110277777,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tenam Rosario,Tenam Rosario,tenam-rosario,-91.98024,15.99928,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Xlahpak,Xlahpak,xlahpak,-87.560450847,20.066813917,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chancalá,Chancalá,chancalá,-91.722738,17.319047,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ijik Xajlel,Ijik Xajlel,ijik-xajlel,-91.270688,17.112437,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Los Alacranes,Los Alacranes,los-alacranes,-89.209722222,17.982222222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Itzimté,Itzimté,itzimté,-89.726861111,20.023861111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Pok Ta Pok,Pok Ta Pok,pok-ta-pok,-86.766472222,21.125388888,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ichmul de Morley,Ichmul de Morley,ichmul-de-morley,-88.363065,20.844772,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Rancho Ina,Rancho Ina,rancho-ina,-87.138103,20.580437,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tzemé,Tzemé,tzemé,-90.023372,20.915604,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chakanbakán,Chakanbakán,chakanbakán,-89.089605,18.452135,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Oxpemul,Oxpemul,oxpemul,-89.778152,18.315644,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Dzibilchaltun,Dzibilchaltun,dzibilchaltun,-89.5903,21.091,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Joya de Cerén,Joya de Cerén,joya-de-cerén,-89.356158333,13.827494444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ake,Ake,ake,-89.300277777,20.947222222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
culuba,culuba,culuba,-87.84616667,21.11480556,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Iximche,Iximche,iximche,-90.9962,14.7358,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Calakmul,Calakmul,calakmul,-89.810555555,18.105,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Jaina Island,Jaina Island,jaina-island,-90.484166666,20.208611111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Quiriguá,Quiriguá,quiriguá,-89.040277777,15.269444444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Pomoná,Pomoná,pomoná,-91.57025,17.48472222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Bonampak,Bonampak,bonampak,-91.065,16.704,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Mirador,El Mirador,el-mirador,-89.920430555,17.75505,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Zaculeu,Zaculeu,zaculeu,-91.492744444,15.333794444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tikal,Tikal,tikal,-89.623613888,17.222094444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Palenque,Palenque,palenque,-92.046388888,17.484166666,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Kabah,Kabah,kabah,-89.647297222,20.248425,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cotzumalhuapa,Cotzumalhuapa,cotzumalhuapa,-91.01863889,14.38133333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Acanceh,Acanceh,acanceh,-89.452222222,20.813333333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Actun Tunichil Muknal,Actun Tunichil Muknal,actun-tunichil-muknal,-88.862352544,17.114128567,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ixlu,Ixlu,ixlu,-89.68583333,16.97194444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Mixco Viejo,Mixco Viejo,mixco-viejo,-90.664166666,14.871666666,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Nakum,Nakum,nakum,-89.36,17.18,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Aguateca,Aguateca,aguateca,-90.18833333,16.41194444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Altun Ha,Altun Ha,altun-ha,-88.347498094,17.76463547,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Lubaantun,Lubaantun,lubaantun,-88.965,16.281111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
El Perú,El Perú,el-perú,-90.380587,17.278341,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Uxbenka,Uxbenka,uxbenka,-89.07833,16.23667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Mayapan,Mayapan,mayapan,-89.460555555,20.629444444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Uxmal,Uxmal,uxmal,-89.771388888,20.359444444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Copán,Copán,copán,-89.142441666,14.837963888,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Acanmul,Acanmul,acanmul,-90.32555556,19.90361111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Xultun,Xultun,xultun,-89.4,17.5,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Maya Ruins of Tulum,Maya Ruins of Tulum,maya-ruins-of-tulum,-87.428888888,20.214722222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Yaxchilan,Yaxchilan,yaxchilan,-90.966666666,16.9,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Tazumal,Tazumal,tazumal,-89.674416666,13.979555555,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Bilbao,Bilbao,bilbao,-91.02777778,14.34972222,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cuello,Cuello,cuello,-88.6,18.06666667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Dos Pilas,Dos Pilas,dos-pilas,-90.295833333,16.445833333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chacchoben,Chacchoben,chacchoben,-88.2325,19.00083333,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Edzna,Edzna,edzna,-90.229083,19.596778,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Kohunlich,Kohunlich,kohunlich,-88.78333333,18.41666667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cara Sucia,Cara Sucia,cara-sucia,-90.03583333,13.77916667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Caracol,Caracol,caracol,-89.117591666,16.763927777,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Toniná,Toniná,toniná,-92.009675,16.901219444,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cahal Pech,Cahal Pech,cahal-pech,-89.061111111,17.155555555,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Lamanai,Lamanai,lamanai,-88.652457731,17.764318837,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Uaxactún,Uaxactún,uaxactún,-89.634533333,17.393561111,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Ek' Balam,Ek' Balam,ek-balam,-88.13626389,20.89108611,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cerros,Cerros,cerros,-88.350555555,18.353888888,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cerros,Cerros,cerros,-88.35202778,18.35833056,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Chacmultun,Chacmultun,chacmultun,-89.34494444,20.17266667,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Kaminaljuyu,Kaminaljuyu,kaminaljuyu,-90.5491,14.6328,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Nim Li Punit,Nim Li Punit,nim-li-punit,-88.8,16.316666666,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Becan,Becan,becan,-89.466666666,18.516666666,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
Cival,Cival,cival,-89.259166666,17.3675,archaeological_site,,Archaeological site recorded in Wikidata.,Wikidata
